Error Type	Frequency
wording	17
extra-comma	16
missing-comma	11
missing-word	10
missing-dash	9
bracket4comma	9
upper4lower-common	6
missing-period	6
missing-letter	6
extra-word	5
agreement-pred	5
number4word	5
extra-letter	5
extra-commas	5
nominal-inflection	4
missing-space	4
wrong-quots	4
merged-words	4
lower4upper-proper	4
missing-accent	3
ind4sub	3
wrong-prep	3
agreement-pro	3
gendered	3
fw	3
comma4period	2
split-word	2
comma4conjunction	2
extra-words	2
nonit4it	2
letter-rep	2
extra-colon	2
missing-words	2
upper4lower-proper	2
nonword	2
agreement-concord	1
abbreviation-period	1
agreement	1
conjunction4comma	1
def4ind	1
extra-period	1
taboo-word	1
extra-dash	1
each	1
conjunction4period	1
missing-commas	1
missing-quot	1
adjective-inflection	1
period4qm	1
missing-slash	1
extra-bracket	1
compound-collocation	1
missing-bracket	1
split-compound	1
lower4upper-initial	1
extra-abbreviation	1
fw4ice	1
comma4dots	0
nn4n	0
collocation	0
iteration-colon	0
extra-number	0
collocation-idiom	0
að4af	0
period4conjunction	0
y4i	0
dash4word	0
comma-plus-conjunction	0
missing-ex	0
dem4noun	0
slash4dash	0
ngnk	0
hv4kv	0
loc4dir	0
extra-quots	0
ex4period	0
xxx	0
word4number	0
af4að	0
period-plus-conjunction	0
bracket4period	0
punctuation	0
adv4adj	0
pres4past	0
bad-contraction	0
missing-square	0
wrong-dash	0
repeat-word	0
upper4lower-noninitial	0
gen-escape	0
cont4simple	0
lower4upper-acro	0
foreign-error	0
conjunction4semicolon	0
extra-symbol	0
dots4period	0
indef-pro	0
dative-sub	0
missing-inf-part	0
misplaced-quot	0
dash4period	0
symbol4number	0
period4semicolon	0
period4colon	0
word4symbol	0
nom4acc-sub	0
dash4colon	0
colon4period	0
i4y	0
extra-conjunction	0
extra-semicolon	0
dem-pro	0
sub4ind	0
loan-syntax	0
swapped-letters	0
zzz	0
bracket4slash	0
period4dash	0
comma4semicolon	0
number4symbol	0
pronun-writing	0
period4ex	0
nonsup4sup	0
missing-quots	0
singular4plural	0
ex4comma	0
ý4í	0
pro4reflexive	0
reflexive4noun	0
extra-quot	0
abbreviation	0
comma4dash	0
extra-square	0
sup4nonsup	0
colon4comma	0
qm4ex	0
extra-space	0
past4pres	0
dem4pers	0
want	0
context	0
caps4low	0
noun4dem	0
semicolon4colon	0
style	0
v3	0
missing-qm	0
date-abbreviation	0
adj4adv	0
name-error	0
period4comma	0
pers4dem	0
new-passive	0
comma4bracket	0
missing-semicolon	0
comma4ex	0
missing-symbol	0
aux	0
semicolon4period	0
noun4pro	0
pro4noun	0
conjunction	0
acc4nom-sub	0
comma4colon	0
plural4singular	0
it4nonit	0
symbol4word	0
u4y	0
split-words	0
words4abbreviation	0
n4nn	0
qm4comma	0
have	0
word4dash	0
extra-punctuation	0
extra-inf-part	0
repeat-word-split	0
double-punctuation	0
missing-conjunction	0
abbreviation4words	0
date-period	0
verb-inflection	0
slash4or	0
ice4fw	0
dir4loc	0
bracket4square	0
dots4comma	0
missing-colon	0
unicelandic	0
ordinal-period	0
square4bracket	0
qm4period	0
dash4comma	0
í4ý	0
kv4hv	0
simple4cont	0
comma4qm	0
v3-subordinate	0
extra-qm	0
compound-nonword	0
semicolon4comma	0
conjunction4qm	0
dash4semicolon	0
wrong-accent	0
hypercorr	0
extra-accent	0
marked4unmarked	0
reflexive4pro	0
ind4def	0
conjunction-drop	0
